Datum;Grupp;Serie;Värde
2000-12-24;Valutor mot svenska kronor;1 CAD;N/A
2000-12-25;Valutor mot svenska kronor;1 CAD;N/A
2000-12-26;Valutor mot svenska kronor;1 CAD;N/A
2000-12-27;Valutor mot svenska kronor;1 CAD;6,2775
2000-12-28;Valutor mot svenska kronor;1 CAD;6,31
2000-12-29;Valutor mot svenska kronor;1 CAD;6,355
2000-12-30;Valutor mot svenska kronor;1 CAD;N/A
2000-12-31;Valutor mot svenska kronor;1 CAD;N/A
2001-01-01;Valutor mot svenska kronor;1 CAD;N/A
2001-01-02;Valutor mot svenska kronor;1 CAD;6,295
2001-01-03;Valutor mot svenska kronor;1 CAD;6,2975
2001-01-04;Valutor mot svenska kronor;1 CAD;6,315
2001-01-05;Valutor mot svenska kronor;1 CAD;6,2175
2001-01-06;Valutor mot svenska kronor;1 CAD;N/A
2001-01-07;Valutor mot svenska kronor;1 CAD;N/A
2001-01-08;Valutor mot svenska kronor;1 CAD;6,2425
2001-01-09;Valutor mot svenska kronor;1 CAD;6,315
2001-01-10;Valutor mot svenska kronor;1 CAD;6,345
2001-01-11;Valutor mot svenska kronor;1 CAD;6,2725
2001-01-12;Valutor mot svenska kronor;1 CAD;6,20
2001-01-13;Valutor mot svenska kronor;1 CAD;N/A
2001-01-14;Valutor mot svenska kronor;1 CAD;N/A
2001-01-15;Valutor mot svenska kronor;1 CAD;6,2325
2001-01-16;Valutor mot svenska kronor;1 CAD;6,2825
2001-01-17;Valutor mot svenska kronor;1 CAD;6,2975
2001-01-18;Valutor mot svenska kronor;1 CAD;6,2675
2001-01-19;Valutor mot svenska kronor;1 CAD;6,2175
2001-01-20;Valutor mot svenska kronor;1 CAD;N/A
2001-01-21;Valutor mot svenska kronor;1 CAD;N/A
2001-01-22;Valutor mot svenska kronor;1 CAD;6,2825
2001-01-23;Valutor mot svenska kronor;1 CAD;6,335
2001-01-24;Valutor mot svenska kronor;1 CAD;6,3225
2001-01-25;Valutor mot svenska kronor;1 CAD;6,375
2001-01-26;Valutor mot svenska kronor;1 CAD;6,385
2001-01-27;Valutor mot svenska kronor;1 CAD;N/A
2001-01-28;Valutor mot svenska kronor;1 CAD;N/A
2001-01-29;Valutor mot svenska kronor;1 CAD;6,3725
2001-01-30;Valutor mot svenska kronor;1 CAD;6,41
2001-01-31;Valutor mot svenska kronor;1 CAD;6,32
2001-02-01;Valutor mot svenska kronor;1 CAD;6,295
2001-02-02;Valutor mot svenska kronor;1 CAD;6,3325
2001-02-03;Valutor mot svenska kronor;1 CAD;N/A
2001-02-04;Valutor mot svenska kronor;1 CAD;N/A
2001-02-05;Valutor mot svenska kronor;1 CAD;6,3425
2001-02-06;Valutor mot svenska kronor;1 CAD;6,3125
2001-02-07;Valutor mot svenska kronor;1 CAD;6,345
2001-02-08;Valutor mot svenska kronor;1 CAD;6,3425
2001-02-09;Valutor mot svenska kronor;1 CAD;6,43
2001-02-10;Valutor mot svenska kronor;1 CAD;N/A
2001-02-11;Valutor mot svenska kronor;1 CAD;N/A
2001-02-12;Valutor mot svenska kronor;1 CAD;6,3675
2001-02-13;Valutor mot svenska kronor;1 CAD;6,365
2001-02-14;Valutor mot svenska kronor;1 CAD;6,45
2001-02-15;Valutor mot svenska kronor;1 CAD;6,445
2001-02-16;Valutor mot svenska kronor;1 CAD;6,4425
2001-02-17;Valutor mot svenska kronor;1 CAD;N/A
2001-02-18;Valutor mot svenska kronor;1 CAD;N/A
2001-02-19;Valutor mot svenska kronor;1 CAD;6,3739
2001-02-20;Valutor mot svenska kronor;1 CAD;6,4028
2001-02-21;Valutor mot svenska kronor;1 CAD;6,4146
2001-02-22;Valutor mot svenska kronor;1 CAD;6,4521
2001-02-23;Valutor mot svenska kronor;1 CAD;6,4975
2001-02-24;Valutor mot svenska kronor;1 CAD;N/A
2001-02-25;Valutor mot svenska kronor;1 CAD;N/A
2001-02-26;Valutor mot svenska kronor;1 CAD;6,4625
2001-02-27;Valutor mot svenska kronor;1 CAD;6,435
2001-02-28;Valutor mot svenska kronor;1 CAD;6,45
2001-03-01;Valutor mot svenska kronor;1 CAD;6,3725
2001-03-02;Valutor mot svenska kronor;1 CAD;6,26
2001-03-03;Valutor mot svenska kronor;1 CAD;N/A
2001-03-04;Valutor mot svenska kronor;1 CAD;N/A
2001-03-05;Valutor mot svenska kronor;1 CAD;6,305
2001-03-06;Valutor mot svenska kronor;1 CAD;6,31
2001-03-07;Valutor mot svenska kronor;1 CAD;6,30
2001-03-08;Valutor mot svenska kronor;1 CAD;6,28
2001-03-09;Valutor mot svenska kronor;1 CAD;6,2875
2001-03-10;Valutor mot svenska kronor;1 CAD;N/A
2001-03-11;Valutor mot svenska kronor;1 CAD;N/A
2001-03-12;Valutor mot svenska kronor;1 CAD;6,3175
2001-03-13;Valutor mot svenska kronor;1 CAD;6,3975
2001-03-14;Valutor mot svenska kronor;1 CAD;6,5075
2001-03-15;Valutor mot svenska kronor;1 CAD;6,4675
2001-03-16;Valutor mot svenska kronor;1 CAD;6,4675
2001-03-17;Valutor mot svenska kronor;1 CAD;N/A
2001-03-18;Valutor mot svenska kronor;1 CAD;N/A
2001-03-19;Valutor mot svenska kronor;1 CAD;6,515
2001-03-20;Valutor mot svenska kronor;1 CAD;6,4725
2001-03-21;Valutor mot svenska kronor;1 CAD;6,465
2001-03-22;Valutor mot svenska kronor;1 CAD;6,5625
2001-03-23;Valutor mot svenska kronor;1 CAD;6,6075
2001-03-24;Valutor mot svenska kronor;1 CAD;N/A
2001-03-25;Valutor mot svenska kronor;1 CAD;N/A
2001-03-26;Valutor mot svenska kronor;1 CAD;6,545
2001-03-27;Valutor mot svenska kronor;1 CAD;6,5625
2001-03-28;Valutor mot svenska kronor;1 CAD;6,5075
2001-03-29;Valutor mot svenska kronor;1 CAD;6,65
2001-03-30;Valutor mot svenska kronor;1 CAD;6,605
2001-03-31;Valutor mot svenska kronor;1 CAD;N/A
2001-04-01;Valutor mot svenska kronor;1 CAD;N/A
2001-04-02;Valutor mot svenska kronor;1 CAD;6,5975
2001-04-03;Valutor mot svenska kronor;1 CAD;6,5675
2001-04-04;Valutor mot svenska kronor;1 CAD;6,545
